ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"149.20.253.77","elite","AS18615","US","Mainstream Fiber Networks, LLC","100","Mainstream Fiber Networks, LLC","12551","socks4","59","1","2023-02-24T17:08:25.661Z","100","1037","1038"
"193.124.189.13","elite","AS209641","RU","I-servers LTD","62","I-servers LTD","80","socks4","127","1","2023-02-24T17:08:25.879Z","100","1045","1047"
"138.36.150.14","elite","AS263729","AR","Pedraza Luis Eduardo","256","Pedraza Luis Eduardo","1080","socks4","78","1","2023-02-24T17:08:25.346Z","100","1009","1011"
"177.105.68.255","elite","AS262637","BR","Netprimus Tecnologia Ltda","160","Netprimus Tecnologia Ltda","4153","socks4","185","1","2023-02-24T17:08:25.405Z","100","1023","1025"
"131.161.223.20","elite","AS270049","EC","Marvicnet CIA Ltda","173","Marvicnet CIA Ltda","5678","socks4","120","1","2023-02-24T17:08:25.974Z","100","1050","1050"
"203.130.4.210","elite","AS24435","PK","Supernet 0","139","N/A","5678","socks4","178","1","2023-02-24T17:08:25.807Z","100","1071","1075"
"187.16.132.195","elite","AS28254","BR","Arganet ComunicaÔÔo e Monitoramento Digital Ltda","207","Arganet Comunicação e Monitoramento Digital Ltda","5678","socks4","124","1","2023-02-24T17:08:25.935Z","99","988","1003"
"177.66.195.116","elite","AS262503","BR","Wiki Telecomunicacoes Eireli","189","Maranhão Telecom ltda ME","4145","socks4","256","1","2023-02-24T17:08:25.130Z","99","1070","1082"
"49.156.1.173","elite","AS38901","KH","EZECOM limited","194","EZECOM limited","5678","socks4","56","3","2023-02-24T17:08:25.758Z","74","767","1034"
"168.227.158.77","elite","AS52898","BR","Multipla ServiÔos Inteligentes","238","Multipla Serviços Inteligentes","4145","socks4","137","1","2023-02-24T17:08:25.877Z","100","1063","1065"
"31.210.225.135","elite","AS42666","ES","Embou Clientes","428","N/A","4153","socks4","170","1","2023-02-24T17:08:25.808Z","82","921","1120"
"112.250.211.161","elite","AS4837","CN","China Unicom CHINA169 Shandong Province Network","182","N/A","38801","socks4","65","1","2023-02-24T17:08:25.176Z","93","970","1040"
"110.78.141.219","elite","AS131090","TH","CAT-BB","172","N/A","4145","socks4","102","1","2023-02-24T17:08:24.414Z","79","886","1120"
"103.59.203.161","elite","AS134014","IN","NET 4 U SERVICES PVT LTD","191","NET 4 U Services PVT LTD","4145","socks4","111","1","2023-02-24T17:08:24.092Z","100","1090","1094"
"200.109.65.110","elite","AS8048","VE","CANTV Servicios, Venezuela","155","CANTV Servicios, Venezuela","4153","socks4","108","1","2023-02-24T17:08:24.217Z","96","1072","1121"
"51.38.39.204","elite","AS16276","FR","OVH SAS","5","OVH","63028","socks5","72","1","2023-02-24T17:08:24.787Z","100","1119","1120"
"187.44.1.248","elite","AS28202","BR","Rede Brasileira de Comunicacao S/A","218","Rede Brasileira de Comunicacao S/A","5678","socks4","76","1","2023-02-24T17:08:24.475Z","99","1114","1121"
"210.86.173.42","elite","AS7470","TH","True Internet Corporation CO. Ltd.","190","True Internet Corporation CO. LTD","4153","socks4","238","1","2023-02-24T17:08:24.541Z","99","1114","1120"
"135.181.78.38","elite","AS24940","FI","Hetzner Online GmbH","39","Hetzner","60063","socks5","59","1","2023-02-24T17:08:24.383Z","100","1026","1026"
"45.7.177.177","elite","AS266626","BR","Litoral Telecom","196","Litoral Telecom","39867","socks4","335","1","2023-02-24T17:08:24.947Z","98","1095","1120"
"103.79.96.169","elite","AS64308","ID","PT IndoDev Niaga Internet","201","PT IndoDev Niaga Internet","4153","socks4","80","1","2023-02-24T17:08:24.101Z","100","1040","1042"
"186.224.225.82","elite","AS53171","BR","Path Telecom S.A.","222","Path Telecom S.A","42648","socks4","85","1","2023-02-24T17:08:24.670Z","99","1111","1121"
"103.127.250.123","elite","AS138527","HK","ADC GROUP CO.","208","ADC GROUP CO., LIMITED","9999","socks5","97","1","2023-02-24T17:08:24.192Z","100","1120","1121"
"50.62.56.97","elite","AS26496","US","GoDaddy.com, LLC","139","GoDaddy.com, LLC","10108","socks5","120","1","2023-02-24T17:08:24.018Z","100","1035","1035"
"118.173.230.149","elite","AS23969","TH","TOT Public Company Limited","159","TOT Public Company Limited","1080","socks4","121","1","2023-02-24T17:08:24.091Z","100","1116","1121"
"148.251.51.234","elite","AS24940","DE","Hetzner Online GmbH","16","Hetzner","9050","socks5","64","1","2023-02-24T17:08:24.612Z","100","1109","1109"
"5.188.4.100","elite","AS202422","BR","G-Core Labs S.A","197","GCL","80","socks5","214","1","2023-02-24T17:08:24.274Z","95","1061","1115"
"190.3.72.39","elite","AS11664","AR","Techtel LMDS Comunicaciones Interactivas S.A.","274","Telmex Argentina S.A","3629","socks4","75","1","2023-02-24T17:08:24.428Z","78","862","1107"
"186.235.187.14","elite","AS61888","BR","GFT COMERCIO DE TELEFONIA E COMUNICACAO LTDA","146","Avil Tecidos Recife Ltda","4153","socks4","71","1","2023-02-24T17:08:23.649Z","100","1078","1081"
"103.217.173.210","elite","AS133354","ID","Akpa-net Soho Dedicated","212","N/A","53905","http","90","590","2023-02-24T17:08:23.804Z","100","1120","1121"
"103.115.255.65","elite","AS137868","BD","Star Internet Service","201","Md. Murad Hossain Ripon","36331","socks4","99","1","2023-02-24T17:08:23.403Z","97","973","1006"
"191.6.133.21","elite","AS263305","BR","NET.COM TELECOMUNICACOES EIRELI","171","RCS TELECOMUNICACOES LTDA","4145","socks4","323","1","2023-02-24T17:08:23.561Z","98","1080","1103"
"109.86.219.179","elite","AS13188","UA","Triolan","52","N/A","55489","socks4","378","1","2023-02-24T17:08:23.173Z","95","1056","1111"
"64.225.28.168","elite","AS14061","US","DigitalOcean, LLC","78","DigitalOcean, LLC","38461","socks4","247","1","2023-02-24T17:08:23.218Z","100","1021","1022"
"184.174.75.86","elite","AS21769","GB","Colocation America Corporation","147","North Coast Hosting","51724","socks5","231","1","2023-02-24T17:08:23.399Z","99","1071","1087"
"185.171.54.36","elite","AS44285","IR","Shahrad","101","N/A","4153","socks4","72","1","2023-02-24T17:08:23.757Z","97","1038","1069"
"45.196.148.52","elite","AS7018","US","AT&T Services","80","AQUA Networks Limited","5432","socks4","272","1","2023-02-24T17:08:23.298Z","98","1038","1062"
"117.242.232.86","elite","AS9829","IN","BSNL Internet","284","N/A","5678","socks5","310","2","2023-02-24T17:08:23.357Z","36","384","1065"
"38.127.173.249","elite","AS174","US","Cogent Communications","82","Torlandia Trading SRL","55994","socks5","108","1","2023-02-24T17:08:23.261Z","100","1032","1032"
"47.113.179.6","elite","AS37963","CN","Hangzhou Alibaba Advertising Co., Ltd.","225","Aliyun Computing Co., LTD","10705","socks4","120","1","2023-02-24T17:08:23.399Z","65","729","1120"
"37.228.129.57","elite","AS200651","FI","Flokinet Ltd","34","FlokiNET Finland","22122","socks5","226","1","2023-02-24T17:08:23.182Z","100","1118","1121"
"134.209.239.109","elite","AS14061","DE","DigitalOcean, LLC","20","DigitalOcean, LLC","80","socks4","104","1","2023-02-24T17:08:23.935Z","81","874","1078"
"117.241.135.30","elite","AS9829","IN","BSNL Internet","236","N/A","5678","socks4","65","1","2023-02-24T17:08:23.558Z","99","1009","1024"
"121.101.186.9","elite","AS38785","ID","BAGUSNET","210","N/A","43296","socks4","280","1","2023-02-24T17:08:23.359Z","92","952","1039"
"124.163.236.54","elite","AS4837","CN","CNC Group CHINA169 Shan1xi Province Network","369","N/A","7302","socks5","88","1","2023-02-24T17:08:23.218Z","97","1006","1037"
"186.10.74.250","elite","AS27651","CL","Entel Chile S.A.","222","Entel Chile S.A","5678","socks4","937","1","2023-02-24T17:08:22.256Z","61","685","1119"
"165.227.31.218","elite","AS14061","US","DigitalOcean, LLC","150","Digital Ocean","19090","socks5","107","1","2023-02-24T17:08:22.397Z","100","1119","1120"
"82.117.204.174","elite","AS31042","RS","Serbia BroadBand","30","N/A","5678","socks4","116","1","2023-02-24T17:08:22.462Z","100","1040","1045"
"191.96.49.100","elite","AS19844","US","SBA Edge, LLC","102","Ipxo","3389","socks4","563","1","2023-02-24T17:08:22.324Z","100","1078","1080"
"115.69.214.66","elite","AS45276","BD","NReach Net (Pvt.) Ltd","161","NReach Net (Pvt.) Ltd","5678","socks4","983","1","2023-02-24T17:08:22.253Z","98","1098","1121"
"207.200.138.35","elite","AS19662","CA","Uniserve On Line","156","Uniserve On Line","5678","socks4","280","1","2023-02-24T17:08:22.624Z","99","1038","1044"
"103.85.60.129","elite","AS131111","ID","MORATELINDONAP","160","N/A","3629","socks4","88","1","2023-02-24T17:08:22.896Z","98","985","1001"
"190.114.253.210","elite","AS52368","CL","ZAM LTDA.","217","ZAM LTDA.","3389","socks4","738","1","2023-02-24T17:08:22.266Z","99","1071","1085"
"171.80.65.72","elite","AS4134","CN","Chinanet","229","Chinanet HB","44844","socks4","916","1","2023-02-24T17:08:22.263Z","33","346","1038"
"143.198.167.240","elite","AS14061","US","DigitalOcean, LLC","84","DigitalOcean, LLC","80","socks4","292","1","2023-02-24T17:08:22.416Z","99","1114","1120"
"172.67.158.52","elite","AS13335","CA","Cloudflare, Inc.","1","Cloudflare, Inc.","80","socks4","101","1","2023-02-24T17:08:22.623Z","100","1120","1120"
"85.199.71.66","elite","AS12693","DE","e.discom","32","KabelSat Bergen GmbH","8080","socks5","965","1","2023-02-24T17:08:22.255Z","100","1014","1014"
"47.108.115.202","elite","AS37963","CN","Hangzhou Alibaba Advertising Co","267","Aliyun Computing Co., LTD","2080","socks5","296","1","2023-02-24T17:08:22.726Z","97","1002","1035"
"103.94.133.90","elite","AS136128","ID","PT CITRA AKSES INDONUSA","172","PT CITRA AKSES INDONUSA","4153","socks4","98","1","2023-02-24T17:08:22.397Z","99","1108","1121"
"185.169.181.21","elite","AS34984","TR","Ates Dc","56","Ibrahim MALA trading as Ates Dc","4145","socks4","287","1","2023-02-24T17:08:22.365Z","100","1084","1084"
"200.109.66.90","elite","AS8048","VE","CANTV Servicios, Venezuela","152","CANTV Servicios, Venezuela","4153","socks4","135","1","2023-02-24T17:08:22.396Z","95","1068","1120"
"193.106.57.96","elite","AS42510","UA","Magic Line","44","PE \"Magic-line\"","5678","socks4","762","1","2023-02-24T17:08:22.265Z","78","829","1066"
"186.251.255.93","elite","AS267513","BR","Seanet Telecom Carazinho Eireli","206","Seanet Telecom Carazinho Eireli","31337","socks4","747","1","2023-02-24T17:08:22.266Z","100","1100","1104"
"158.140.173.212","elite","AS63859","ID","MYREPUBLIC","214","N/A","44550","socks4","956","1","2023-02-24T17:08:22.256Z","97","1017","1046"
"197.234.13.45","elite","AS36902","SC","Intelvision","171","Intelvision Ltd","4145","socks4","973","1","2023-02-24T17:08:22.254Z","99","1074","1083"
"82.137.224.193","elite","AS29256","SY","ISP-TARASSUL","62","N/A","8291","socks4","178","1","2023-02-24T17:08:22.396Z","99","1114","1120"
"86.110.189.154","elite","AS15774","RU","Rostov-On-Don Network","65","ZAO Electro-Com Don P2P Customers","4145","socks4","254","1","2023-02-24T17:08:22.719Z","98","1102","1120"
"139.180.223.81","elite","AS20473","SG","The Constant Company","247","SGP Vultr","26171","socks4","449","1","2023-02-24T17:08:21.361Z","89","961","1077"
"165.16.45.92","anonymous","AS37284","LY","Aljeel Aljadeed For Technology","56","Aljeel Aljadeed Technology","7777","http","104","442","2023-02-24T17:08:21.095Z","71","717","1006"
"146.145.199.115","elite","AS7029","US","Windstream Communications LLC","87","Colo16","8080","socks5","388","1","2023-02-24T17:08:21.291Z","99","1089","1103"
"5.172.188.93","elite","AS60279","PL","Gmina Miasta Elk","44","N/A","5678","socks4","62","1","2023-02-24T17:08:21.910Z","100","1119","1121"
"128.14.226.130","elite","AS135377","TW","Zenlayer Inc","216","UCLOUD","60080","socks4","957","1","2023-02-24T17:08:21.908Z","100","1076","1077"
"31.128.248.1","elite","AS208139","UA","ISP Avator","40","\"Merlin-Telekom\" LLC","1080","socks5","143","1","2023-02-24T17:08:21.437Z","97","1072","1109"
"187.102.26.79","elite","AS53094","BR","Guanhaes Internet LTDA-ME","166","Guanhaes Internet LTDA-ME","35618","socks4","125","1","2023-02-24T17:08:21.732Z","92","1025","1115"
"170.80.91.65","elite","AS264820","CR","Corebases S.A","152","Corebases S.A","4145","socks4","1052","1","2023-02-24T17:08:21.565Z","99","1112","1119"
"223.165.243.209","elite","AS38661","KR","abcle","286","HiLine Internet Service Inc.","47205","socks4","972","6","2023-02-24T17:08:21.908Z","99","1111","1121"
"41.254.53.70","anonymous","AS21003","LY","LTT Network Backbone and POPs","52","Libyan Telecom and Technology","1981","http","912","665","2023-02-24T17:08:21.565Z","99","999","1005"
"222.124.135.123","elite","AS7713","ID","PT. TELKOM INDONESIA","220","N/A","5678","socks4","255","1","2023-02-24T17:08:21.909Z","93","1044","1121"
"94.182.26.44","elite","AS31549","IR","RASANA","143","Shtl NET DED","4153","socks4","222","1","2023-02-24T17:08:21.703Z","95","1068","1120"
"124.121.176.254","elite","AS17552","TH","TRUE","183","N/A","4145","socks4","287","1","2023-02-24T17:08:21.568Z","30","318","1046"
"116.90.208.151","elite","AS38502","ID","PT Multi Data Palembang","199","N/A","5678","socks4","1055","1","2023-02-24T17:08:21.285Z","98","1093","1121"
"116.212.142.231","elite","AS38235","KH","Angkor Data Communication","197","Mekongnet","33427","socks5","77","1","2023-02-24T17:08:21.727Z","99","1105","1120"
"45.8.105.58","elite","AS209242","DE","Cloudflare London","1","Araxio Development N.V","80","socks5","321","1","2023-02-24T17:08:21.398Z","100","997","998"
"37.34.75.115","elite","AS198399","IT","FASTCON","34","N/A","4145","socks4","350","1","2023-02-24T17:08:21.362Z","57","634","1110"
"43.251.223.20","elite","AS45916","IN","Gujarat Telelink Pvt Ltd","126","Gtpl Broadband Pvt. Ltd.","3629","socks4","129","1","2023-02-24T17:08:21.519Z","94","1054","1120"
"88.212.26.206","elite","AS42841","SK","Antik Network","48","ANTIK Telecom s.r.o.","5678","socks4","1099","1","2023-02-24T17:08:21.562Z","100","1009","1014"
"75.119.204.206","elite","AS26347","US","New Dream Network, LLC","151","New Dream Network, LLC","30795","socks5","1035","1","2023-02-24T17:08:21.902Z","100","1083","1083"
"103.117.109.5","elite","AS137935","BD","I Link Internet Service (I.T)","191","I Link Internet Service (I.T)","4153","socks4","1025","1","2023-02-24T17:08:21.903Z","97","1027","1055"
"177.184.67.37","elite","AS52898","BR","Multipla ServiÔos Inteligentes","239","Multipla Serviços Inteligentes","4145","socks4","981","1","2023-02-24T17:08:21.907Z","100","1061","1063"
"43.225.163.209","elite","AS133001","IN","Airnet Cable And Datacom Pvt Ltd","126","AIRNETNETWORKS","4153","socks4","531","1","2023-02-24T17:08:20.500Z","100","1117","1121"
"165.84.180.124","elite","AS10103","HK","Hong Kong Broadband Network Ltd","240","Hong Kong Broadband Network Ltd","45927","socks4","522","1","2023-02-24T17:08:20.532Z","97","1059","1089"
"94.101.179.153","elite","AS202468","IR","Noyan Abr Arvan Co. ( Private Joint Stock)","99","Noyan Abr Arvan Co. ( Private Joint Stock)","9050","socks5","963","1","2023-02-24T17:08:20.137Z","99","1004","1017"
"103.38.205.17","elite","AS45916","IN","gtpl hariom world vision","133","Gtpl Broadband Pvt. Ltd.","5678","socks4","971","1","2023-02-24T17:08:20.136Z","100","1114","1118"
"125.228.77.228","elite","AS3462","TW","Chunghwa Telecom Co., Ltd.","223","Chunghwa Telecom Co. Ltd.","1081","socks4","908","1","2023-02-24T17:08:20.376Z","99","1105","1119"
"138.36.150.11","elite","AS263729","AR","Pedraza Luis Eduardo","257","Pedraza Luis Eduardo","1080","socks4","998","1","2023-02-24T17:08:20.298Z","100","1108","1110"
"113.160.203.118","elite","AS45899","VN","VietNam Post and Telecom Corporation","228","Vietnam Posts and Telecommunications Group","5678","socks4","248","1","2023-02-24T17:08:20.583Z","96","1080","1121"
"206.189.118.100","elite","AS14061","GB","DigitalOcean, LLC","13","DigitalOcean, LLC","13958","socks4","277","1","2023-02-24T17:08:20.377Z","100","1018","1018"
"181.101.1.221","elite","AS7303","AR","Telecom Argentina S.A.","287","Telecom Personal Bs","7071","socks4","1079","1","2023-02-24T17:08:20.130Z","39","427","1083"
"39.107.46.15","elite","AS37963","CN","Hangzhou Alibaba Advertising Co","162","Aliyun Computing Co., LTD","9091","http","241","331","2023-02-24T17:08:20.805Z","96","1027","1072"
"103.251.221.33","elite","AS58972","IN","BHOMIKA","187","Bhomika","4145","socks4","170","1","2023-02-24T17:08:20.809Z","100","1115","1117"
"156.239.144.87","elite","AS22773","US","Cox Communications Inc.","83","GBTCloud Inc","10001","socks5","571","1","2023-02-24T17:08:20.398Z","100","1065","1066"
"172.67.254.127","elite","AS13335","CA","Cloudflare, Inc.","1","Cloudflare, Inc.","80","socks4","779","1","2023-02-24T17:08:20.327Z","100","1031","1031"
"157.119.224.103","elite","AS59169","IN","Kngd Infosys PVT LTD","219","Kngd Infosys PVT LTD","4145","socks4","546","1","2023-02-24T17:08:20.582Z","96","988","1024"
"188.255.244.53","elite","AS52116","RS","Orion Telekom ISP IP Network in Subotica","34","Orion Telekom Tim d.o.o.Beograd","1080","socks4","920","1","2023-02-24T17:08:20.964Z","100","998","998"
"103.38.205.3","elite","AS45916","IN","gtpl hariom world vision","133","Gtpl Broadband Pvt. Ltd.","5678","socks4","230","1","2023-02-24T17:08:20.473Z","100","1111","1116"
"157.245.77.149","elite","AS14061","NL","DigitalOcean, LLC","14","DigitalOcean, LLC","2817","socks5","580","1","2023-02-24T17:08:20.299Z","100","1106","1106"
"103.95.97.186","elite","AS136759","BD","Cosmopolitan Communications Limited","195","Cosmopolitan Communications Limited","31244","socks4","262","1","2023-02-24T17:08:20.536Z","96","1072","1121"
"129.205.246.105","elite","AS37678","BW","BOTSWANA FIBRE NETWORKS (Proprietary) Limited","192","BOTSWANA FIBRE NETWORKS (Proprietary) Limited","5678","socks4","153","1","2023-02-24T17:08:20.807Z","99","1067","1078"
"202.4.107.70","elite","AS23956","BD","dhakaCom Limited","156","DhakaCom Limited","5678","socks4","554","1","2023-02-24T17:08:20.470Z","98","1018","1044"
"43.153.16.230","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","149","Tencent Cloud Computing","443","socks4","539","1","2023-02-24T17:08:20.469Z","32","347","1072"
"202.154.178.243","elite","AS9341","ID","PT Indonesia Comnets Plus","172","Jakarta1 Iconpln","5678","socks4","94","1","2023-02-24T17:08:20.667Z","97","1090","1119"
"185.6.8.108","elite","AS12552","SE","GlobalConnect AB","38","Snapback AB","19427","socks4","309","1","2023-02-24T17:08:20.397Z","100","1031","1033"
"179.111.216.102","elite","AS27699","BR","Vivo","198","TELEF�NICA BRASIL S.A","3629","socks4","150","1","2023-02-24T17:08:19.234Z","100","1115","1118"
"103.113.3.238","elite","AS137342","ID","Diskominfo Tangerang Selatan","195","N/A","4145","socks4","96","1","2023-02-24T17:08:19.534Z","99","1106","1119"
"192.162.154.19","elite","AS56600","UA","Cyberlan Ltd.","52","Cyberlan Ltd","5678","socks4","1041","1","2023-02-24T17:08:19.816Z","95","1068","1122"
"105.213.130.32","elite","AS16637","ZA","MTN SA","185","MTN SA","5678","socks4","88","1","2023-02-24T17:08:19.783Z","98","1041","1059"
"110.77.184.196","elite","AS131090","TH","CAT-BB","173","N/A","5678","socks4","88","1","2023-02-24T17:08:19.232Z","83","913","1103"
"170.233.117.32","elite","AS264738","AR","Sebastian Souto","289","Sebastian Souto","4153","socks4","103","1","2023-02-24T17:08:19.534Z","99","1112","1120"
"222.70.178.4","elite","AS4812","CN","China Telecom (Group)","206","Chinanet SH","4145","socks4","114","1","2023-02-24T17:08:19.246Z","99","992","1005"
"185.162.229.70","elite","AS209242","GB","Cloudflare London, LLC","1","Softconstruct Limited","80","socks4","929","1","2023-02-24T17:08:19.548Z","100","1118","1119"
"24.37.245.42","elite","AS5769","CA","Le Groupe Videotron Ltee","101","Videotron Ltee","51056","socks4","65","1","2023-02-24T17:08:19.784Z","100","1118","1120"
"176.215.237.166","elite","AS51645","RU","JSC \"ER-Telecom Holding\"","110","OJSC Siberian Telephone Company Network","5678","socks4","1064","1","2023-02-24T17:08:19.552Z","99","1109","1120"
"212.83.137.165","elite","AS12876","FR","Online S.A.S.","1","ONLINE","39187","socks5","106","1","2023-02-24T17:08:19.231Z","100","1041","1041"
"104.21.66.184","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","943","1","2023-02-24T17:08:19.547Z","100","998","998"
"191.7.208.102","elite","AS263327","BR","HTM Serviços de Telecomunicações EIRELI","163","HTM SERVICOS DE TELECOMUNICACOES LTDA","31576","socks4","149","1","2023-02-24T17:08:18.867Z","99","1110","1121"
"222.165.223.139","elite","AS24207","ID","PT NettoCyber Indonesia","179","N/A","41541","socks4","46","1","2023-02-24T17:08:18.867Z","100","1117","1119"
"202.165.38.185","elite","AS17538","ID","Circlecom","188","N/A","5678","socks4","175","1","2023-02-24T17:08:18.864Z","100","1081","1085"
"24.147.144.221","elite","AS7922","US","Comcast Cable Communications","107","Comcast Cable Communications Holdings, Inc","15280","socks5","219","1","2023-02-24T17:08:18.504Z","100","1041","1042"
"191.102.115.6","elite","AS262186","CO","TV AZTECA SUCURSAL COLOMBIA","152","TV AZTECA SUCURSAL COLOMBIA","5678","socks4","210","1","2023-02-24T17:08:18.504Z","25","260","1059"
"150.253.243.239","elite","AS13445","JP","Cisco Webex LLC","288","Cisco Webex LLC","80","socks5","186","1","2023-02-24T17:08:18.224Z","100","1002","1003"
"190.109.72.41","elite","AS264231","BR","RG.COM - INFORMATICA & COMUNICACAO LTDA - ME","189","RG.COM - INFORMATICA & COMUNICACAO LTDA - ME","33633","socks4","62","1","2023-02-24T17:08:18.867Z","99","994","999"
"45.112.125.53","elite","AS58369","ID","FIBERNET","164","N/A","4145","socks4","63","1","2023-02-24T17:08:18.866Z","99","1109","1118"
"177.105.68.232","elite","AS262637","BR","Netprimus Tecnologia Ltda","150","Netprimus Tecnologia Ltda","4153","socks4","165","1","2023-02-24T17:08:18.216Z","100","1041","1043"
"103.113.3.236","elite","AS137342","ID","Diskominfo Tangerang Selatan","192","N/A","4145","socks4","824","1","2023-02-24T17:08:17.542Z","99","1013","1026"
"202.142.167.210","elite","AS9260","PK","Multinet Broadband","162","Multinet Broadband","1080","socks4","75","1","2023-02-24T17:08:17.530Z","98","1096","1119"
"93.86.63.73","anonymous","AS8400","RS","TELEKOM-SRBIJA","33","N/A","8080","http","304","804","2023-02-24T17:08:17.656Z","100","1120","1121"
"179.125.172.210","elite","AS28649","BR","Desktop Sigmanet Comunicação Multimídia SA","237","Desktop Sigmanet Comunicação Multimídia SA","4153","socks4","1029","1","2023-02-24T17:08:17.456Z","100","1117","1121"
"195.208.61.116","elite","AS62240","GB","Clouvider Limited","9","Qwarta LLC","52803","socks4","86","1","2023-02-24T17:08:17.577Z","100","1059","1059"
"190.119.235.210","elite","AS12252","PE","America Movil Peru S.A.C.","169","America Movil Peru S.A.C","4153","socks4","127","1","2023-02-24T17:08:17.053Z","82","864","1058"
"177.87.230.29","elite","AS262309","BR","BMBB SERVIÇOS DE COMUNICAÇÃO LTDA","231","BMBB SERVIÇOS DE COMUNICAÇÃO LTDA","43573","socks4","247","1","2023-02-24T17:08:17.881Z","99","1106","1121"
"205.164.66.7","elite","AS268200","BR","AGIS","225","Live Telecomunicacoes Ltda","4153","socks4","1051","1","2023-02-24T17:08:17.167Z","99","1115","1121"
"207.180.252.117","anonymous","AS51167","DE","Contabo GmbH","21","Contabo GmbH","2222","http","1056","656","2023-02-24T17:08:17.458Z","100","999","999"
"114.242.125.237","elite","AS4808","CN","China Unicom Beijing province network","263","N/A","1080","socks5","83","1","2023-02-24T17:08:17.883Z","96","1027","1073"
"85.27.195.146","elite","AS34705","DK","Sydfyns-Intranet","23","N/A","5678","socks4","517","1","2023-02-24T17:08:17.571Z","100","1012","1014"
"200.58.77.188","elite","AS27839","BO","Comteco Ltda","192","Comteco Ltda","1080","socks4","451","1","2023-02-24T17:08:17.572Z","99","1108","1114"
"103.89.62.81","elite","AS58972","IN","Bhomika Network PVT LTD","212","Bhomika Network Pvt Ltd","4153","socks4","234","1","2023-02-24T17:08:17.588Z","99","1111","1119"
"117.102.115.154","elite","AS17451","ID","BIZNET","332","N/A","4153","socks4","167","1","2023-02-24T17:08:17.223Z","99","1110","1120"
"125.75.127.191","elite","AS4134","CN","Chinanet","189","Chinanet GS","1111","socks5","271","1","2023-02-24T17:08:17.650Z","40","432","1083"
"109.238.222.1","elite","AS48574","CZ","Planet A, a.s.","23","PLANET","4153","socks4","339","1","2023-02-24T17:08:17.585Z","99","1058","1065"
"213.251.238.26","anonymous","AS29420","RU","NLine-Kiev","53","Enlain LLC","8080","http","74","137","2023-02-24T17:08:17.885Z","100","1000","1004"
"50.96.204.48","elite","AS7029","US","Windstream Communications LLC","115","Windstream Communications LLC","18351","socks4","164","1","2023-02-24T17:08:17.878Z","100","1065","1069"
"67.213.212.13","elite","AS32780","US","Hosting Services, Inc.","73","Hosting Services, Inc.","50690","socks4","1092","1","2023-02-24T17:08:17.166Z","100","7502","7508"
"8.210.252.121","elite","AS45102","HK","Alibaba (US) Technology Co., Ltd.","246","Alibaba.com Singapore E-Commerce Private Limited","48091","socks5","1043","1","2023-02-24T17:08:17.168Z","75","805","1068"
"177.105.68.18","elite","AS262637","BR","Netprimus Tecnologia Ltda","155","Netprimus Tecnologia Ltda","4153","socks4","327","1","2023-02-24T17:08:17.586Z","100","1057","1059"
"103.242.104.244","elite","AS58821","ID","PT Lintas Jaringan Nusantara","167","PT Lintas Jaringan Nusantara","5678","socks4","166","1","2023-02-24T17:08:17.878Z","99","1074","1087"
"185.56.246.76","elite","AS41026","PL","KOPnet S.C. Marek Szczudlo Juliusz Kostrzewski","42","Kopnet","8291","socks4","526","1","2023-02-24T17:08:17.570Z","99","1110","1120"
"109.166.207.162","elite","AS8953","RO","Orange Romania Network","50","Orange Romania S.A","3629","socks4","157","1","2023-02-24T17:08:17.645Z","96","1078","1120"
"188.68.236.123","elite","AS197226","PL","Sprint S.A","37","Sprint S.A.","3128","socks5","67","1","2023-02-24T17:08:17.462Z","19","191","1003"
"221.224.213.156","elite","AS4134","CN","CHINANET jiangsu province network","211","N/A","1080","socks4","1037","1","2023-02-24T17:08:17.455Z","82","916","1118"
"121.4.166.166","elite","AS45090","CN","China Internet Network Information Center","207","Tencent cloud computing (Beijing) Co., Ltd.","38080","socks5","101","1","2023-02-24T17:08:17.882Z","98","977","998"
"183.81.153.9","elite","AS24527","ID","Internet Service Provider","182","POP Bogor","5678","socks4","918","1","2023-02-24T17:08:16.440Z","99","1102","1108"
"140.83.36.112","elite","AS31898","JP","Oracle Corporation","219","Oracle Cloud Infrastructure (ap-tokyo-1)","16725","socks5","909","1","2023-02-24T17:08:16.441Z","83","935","1120"
"185.200.38.236","elite","AS202561","TR","High Speed Telekomunikasyon ve Hab. Hiz. Ltd. Sti.","64","High Speed Telekomunikasyon ve Hab. Hiz. Ltd. Sti","10820","socks5","354","1","2023-02-24T17:08:16.447Z","99","1108","1120"
"117.54.201.92","elite","AS9340","ID","PT IndoInternet","181","N/A","5678","socks4","1038","1","2023-02-24T17:08:16.800Z","99","1107","1120"
"185.171.54.26","elite","AS44285","IR","Shahrad","88","N/A","4153","socks4","1008","1","2023-02-24T17:08:16.802Z","98","1096","1121"
"105.213.188.163","elite","AS16637","ZA","MTN SA","177","MTN SA","5678","socks4","933","1","2023-02-24T17:08:16.438Z","98","1078","1103"
"43.153.97.127","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","147","Tencent Cloud Computing","24067","socks4","228","1","2023-02-24T17:08:16.646Z","32","324","1011"
